,Input,Wav filename,flag value,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,Labels
0,1,1.wav,0,-1.5519357,1.938305,-0.25564176,0.31606993,0.45139384,0.08791739,0.2846913,-0.3699228,0.018973885,-0.01093731,0.00784474,-0.08459063,0.06045855,0.045914873,2.534965e-07,-1.0029623e-07,3.6480653e-08,1.33478855e-08,1.8836818e-08,3.0375902e-09,0
1,2,2.wav,0,-1.5519353,1.9383038,-0.25564122,0.31607023,0.45139387,0.08791729,0.28469115,-0.3699232,0.018973863,-0.010937382,0.0078449,-0.08459087,0.060458656,0.045914892,2.9320302e-07,1.05587205e-07,-2.8524116e-08,-7.283053e-09,-1.5356248e-08,1.0316883e-09,0
2,3,3.wav,0,-0.62608397,-1.2335255,-0.014134637,-0.55846953,-0.5267555,-0.14725447,0.15834832,-0.00015408301,0.2883977,0.024204623,0.055640426,-0.092671126,0.10583621,-0.046931606,2.9322177e-07,8.736838e-08,-5.222091e-08,4.9993147e-09,-3.0472656e-08,-1.5527509e-09,0
3,4,4.wav,0,-0.5447264,-1.8516402,-0.6920976,0.48092085,1.3537687,-0.31892726,-0.6124943,-0.39093772,0.5747869,0.1481146,0.23900819,0.25515962,-0.16536137,-0.024031844,2.7388614e-07,-1.0102608e-09,5.40819e-10,3.6824563e-10,1.06160115e-10,3.1773442e-12,0
4,5,5.wav,0,2.6171215,0.901453,1.8196232,-0.20415616,0.34561244,-0.56957173,0.29398862,0.031129511,0.1576542,-0.07134332,0.07015333,-0.012247757,-0.078365825,-0.00423541,2.6383444e-07,3.005804e-08,2.2875694e-08,9.7157894e-08,2.021905e-09,2.9032515e-10,0
5,6,6.wav,0,2.5653205,0.4816945,-1.2385805,0.04216972,-0.4317883,0.23305394,-0.07534081,-0.20164146,0.055153437,0.34140983,-0.29132363,0.0028111814,-0.02164719,0.021580556,2.72471e-07,5.926452e-08,9.6289604e-08,-2.4471955e-08,-1.8346265e-08,-1.1135266e-09,1
6,7,7.wav,0,0.33026782,-1.7469928,0.07297387,-1.3022958,1.7969726,0.32780972,-0.21694249,0.28732276,-0.5135044,0.065609545,-0.23248798,-0.2576205,0.10886383,-0.011228136,2.7388558e-07,-1.0102615e-09,5.4081845e-10,3.6825665e-10,1.0615935e-10,3.1779748e-12,1
7,8,8.wav,0,-1.3454114,-0.8017191,0.00834944,0.043576684,-0.005009417,0.19109946,0.9377381,0.2642332,-0.5431596,0.42974657,0.11508065,0.30300975,-0.1663893,-0.10662769,2.7388614e-07,-1.0102206e-09,5.4081467e-10,3.682313e-10,1.061569e-10,3.176445e-12,1
8,9,9.wav,0,-0.9263199,-1.5475068,-0.6497902,-0.17023094,-0.2078304,-0.17344879,0.33320653,0.31094006,0.10386881,-0.3806577,-0.25668335,0.011728747,-0.2546991,0.2993122,2.738861e-07,-1.0102603e-09,5.408337e-10,3.6824943e-10,1.0617179e-10,3.1811977e-12,1
9,10,10.wav,0,-0.62608427,-1.2335254,-0.014134654,-0.5584694,-0.52675533,-0.14725448,0.15834841,-0.00015395365,0.2883976,0.024204608,0.055640467,-0.09267097,0.10583627,-0.04693178,2.7006163e-07,-1.0569481e-08,1.8062236e-08,-7.006732e-09,1.13212275e-08,2.0381227e-08,1
10,11,11.wav,0,1.6804553,-0.4037312,-0.95011383,0.13082717,-0.1562733,0.3113895,-0.017909486,-0.13412921,-0.36024693,-0.38631743,0.3072499,0.106434494,0.089145795,-0.003125691,2.684981e-07,-6.3039764e-08,-1.2388275e-10,1.03731e-08,-7.4524905e-08,1.2331267e-09,1
11,12,12.wav,0,-0.36545476,-0.40555012,2.0545201,0.7073082,-0.2255765,2.091946,-0.25337118,0.06871163,0.23476349,-0.03204719,-0.09120323,0.10695079,0.018032707,0.027092293,2.7388583e-07,-1.0102471e-09,5.408222e-10,3.6824968e-10,1.0615668e-10,3.1778347e-12,1
12,13,13.wav,0,2.6171217,0.9014532,1.8196237,-0.20415601,0.34561217,-0.569572,0.2939886,0.031129265,0.15765424,-0.07134339,0.07015349,-0.012247801,-0.078365654,-0.004235321,2.839377e-07,-3.2078564e-08,-2.179406e-08,-9.642138e-08,-1.8095903e-09,-2.8397013e-10,1
13,14,14.wav,0,-0.62608427,-1.2335254,-0.014134654,-0.5584694,-0.52675533,-0.14725447,0.15834847,-0.00015394189,0.2883977,0.02420468,0.05564046,-0.092671,0.10583622,-0.04693179,2.637536e-07,-5.26871e-08,2.4868397e-08,4.848547e-09,1.3615446e-08,-1.03006235e-08,0
14,15,15.wav,0,-1.5519353,1.9383042,-0.25564146,0.31607008,0.4513937,0.08791733,0.2846912,-0.3699229,0.01897388,-0.01093737,0.00784479,-0.08459071,0.06045855,0.04591489,2.7495793e-07,-8.321826e-09,-6.3340493e-09,-4.9600417e-09,-3.1620937e-09,-4.0597445e-09,1
15,16,16.wav,0,-0.2768108,-0.3296824,0.5965569,1.9032809,-0.08435964,-0.92057335,-0.32769865,0.5228722,-0.19404931,0.24513583,-0.009945339,0.13357987,0.30080885,0.14793111,2.7388575e-07,-1.0102608e-09,5.4080795e-10,3.682665e-10,1.0616073e-10,3.1780871e-12,1
16,17,17.wav,0,-0.8161716,2.0895507,-0.7658582,-0.23243959,0.19735587,-0.21082911,-0.18310288,0.62710494,0.24537219,-0.38031968,-0.39029512,0.2648928,0.033603482,-0.20735602,2.738861e-07,-1.0101986e-09,5.407959e-10,3.6823783e-10,1.06143656e-10,3.1758728e-12,1
17,18,18.wav,0,-0.37563932,2.059215,-0.706923,-0.18538599,-0.29681438,0.28978997,-0.51099586,0.7739445,0.032711655,0.19956209,0.4577498,-0.28041357,-0.19497293,0.016223844,2.7388614e-07,-1.0102433e-09,5.4081073e-10,3.6825062e-10,1.06159574e-10,3.1771807e-12,0
18,19,19.wav,0,-0.67057306,-1.1975178,0.46486259,1.9542515,-0.47581017,-0.41910118,-0.27460745,-0.29270223,-0.3790654,-0.18170774,-0.19997473,-0.3015168,-0.20744905,-0.17506848,2.7388614e-07,-1.0102479e-09,5.4082433e-10,3.6824235e-10,1.06159026e-10,3.1776944e-12,0
19,20,20.wav,0,2.5653205,0.4816945,-1.2385802,0.042170387,-0.43178838,0.23305398,-0.075340755,-0.2016415,0.05515337,0.3414099,-0.29132375,0.0028111886,-0.021647295,0.021580493,2.7530092e-07,-6.128502e-08,-9.520794e-08,2.5208436e-08,1.8558596e-08,1.1198835e-09,0
20,21,21.wav,0,1.6804554,-0.4037312,-0.95011395,0.13082714,-0.1562733,0.31138957,-0.017909382,-0.1341294,-0.36024702,-0.38631743,0.30725002,0.106434405,0.08914594,-0.0031257377,2.792738e-07,6.1019215e-08,1.2055167e-09,-9.6365635e-09,7.47372e-08,-1.2267715e-09,1
21,22,22.wav,0,-0.62608427,-1.2335254,-0.014134654,-0.55846936,-0.5267554,-0.14725447,0.15834841,-0.00015395365,0.2883977,0.024204653,0.055640534,-0.09267103,0.1058362,-0.04693177,2.6850677e-07,-2.815289e-08,1.1453552e-08,-1.3680831e-09,5.9605987e-09,-8.515144e-09,1
22,23,23.wav,0,-1.5748131,0.89220023,1.1790104,-1.8510026,-0.814955,-0.48224053,-0.7806764,-0.45182174,-0.47735834,0.055059493,-0.049504828,0.19468963,-0.05542231,0.055296447,2.7388606e-07,-1.0102508e-09,5.4082405e-10,3.6825384e-10,1.0616263e-10,3.1787689e-12,1
