,Input,Wav filename,flag value,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,Real Values,Predicted Values
0,1,8.wav,0,-2666.6987,-143.60927,-53.142937,8.267267,-9.391267,-4.9452643,0.43137658,-0.8883537,-1.1370184,-1.5324986,0.86096805,1.3005599,1.9889238,-0.24856655,0.39078075,0.3472813,-0.031534974,-0.5530954,0.07637586,-0.04569111,1,0.0
1,2,8.wav,0,-2666.7104,-143.60458,-53.144276,8.267334,-9.38945,-4.9473834,0.43091968,-0.8900736,-1.1381681,-1.5357497,0.8590452,1.302462,1.9893963,-0.24578713,0.39108428,0.34714556,-0.027913883,-0.5510351,0.08238149,-0.0450654,1,0.0
2,3,3.wav,0,-2666.8953,-143.72618,-53.294106,8.182108,-9.479318,-5.410223,0.9501877,-0.9403653,-1.2798299,-2.6750937,-0.08653195,0.16117716,-0.20283262,-0.14008516,-0.48058173,-0.25623533,0.6814024,0.6704444,0.17913382,-0.036394384,0,0.0
3,4,19.wav,0,-2666.837,-143.7154,-53.29063,8.189341,-9.487407,-5.636826,0.7526628,-0.9643268,-1.372068,-3.6742513,-0.12672672,-0.76395506,-0.09074529,-1.0780092,-0.39035738,-0.026751213,0.4806242,-0.89312017,0.36625546,0.07365679,0,0.0
4,5,17.wav,0,-2666.2354,-143.24828,-52.71909,8.429333,-9.266914,-4.426803,0.89255023,-0.4274928,-0.2075508,-1.5290742,-1.0073551,-1.2161936,0.736228,2.1993122,-0.28639707,-0.37259778,-1.2159604,-0.12956254,0.030368127,0.23156328,1,0.0
5,6,12.wav,0,-2665.6782,-142.81398,-51.993706,9.024614,-8.723397,-5.2501454,1.0131142,-0.8842916,0.5371726,-2.6561878,-0.3317646,-0.54756105,0.2786695,1.3293952,-0.1751111,0.54835856,-0.20479384,-0.23549101,0.1348374,-0.7055409,1,0.0
6,7,22.wav,0,-2666.8723,-143.7142,-53.275394,8.201969,-9.478361,-5.6320996,1.1152796,-0.89659244,-1.0603029,-3.4413316,-0.6094149,-1.2219628,0.60284233,0.046672486,-0.84493625,-0.7681167,0.9497634,0.19892903,-0.3858363,0.6490409,1,0.0
7,8,2.wav,0,-2666.9038,-143.72676,-53.29518,8.177538,-9.477107,-5.4381638,0.9964629,-1.0089523,-1.429232,-2.2362916,0.4960828,0.5475004,0.22821878,-0.97046214,-0.47897154,-0.64715576,0.24076132,0.43138808,-0.32975355,-0.23951279,0,0.0
8,9,5.wav,0,-2666.9001,-143.7268,-53.2948,8.183494,-9.4848,-5.5037107,0.992239,-1.0204031,-1.4078512,-3.1587481,-0.0023721007,0.38573995,-0.41917253,-0.5187617,-0.36729547,0.050721213,0.9814508,0.4130603,-0.024997562,-0.37918144,0,0.0
9,10,3.wav,0,-2666.8953,-143.72578,-53.293785,8.181762,-9.47954,-5.410227,0.950024,-0.940867,-1.2796004,-2.6753328,-0.08571089,0.16103257,-0.20354861,-0.14044032,-0.48025376,-0.25610244,0.6811357,0.6702345,0.17886347,-0.037267223,0,0.0
