,Input,Wav filename,flag value,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,Real Values,Predicted Values
0,1,15.wav,0,-9211.3955,-472.2999,90.988495,66.39223,-33.966286,-32.354847,-4.1577015,0.51850563,-13.084058,-2.3695197,-0.6116289,0.8981521,-3.9419825,0.24779123,0.63264567,-0.37267047,-0.39206287,0.35733014,-0.5603815,0.22686328,1,1.0
1,2,15.wav,0,-9211.451,-472.27936,91.02127,66.38059,-33.968502,-32.355247,-4.1571164,0.51834285,-13.084058,-2.3693504,-0.6116233,0.8981279,-3.9419851,0.24779315,0.63264376,-0.3726666,-0.3920596,0.3573323,-0.5603763,0.2268641,1,1.0
2,3,16.wav,0,-9211.45,-472.27393,91.011375,66.44135,-33.953075,-32.343594,-4.262553,0.21911807,-12.780085,-2.6805046,-0.6928761,0.42005852,-4.745503,-0.92484766,0.056772787,0.82001436,-0.5798894,0.021856565,-0.23918457,-0.6967191,1,1.0
3,4,2.wav,0,-9211.518,-472.31976,91.02297,66.40328,-34.01362,-32.35321,-4.294962,0.24813913,-14.1654825,-2.9711576,-0.9444691,0.16732363,-4.913331,-1.2496523,0.5324469,-0.14415474,-0.71300364,-0.07982888,0.28419533,0.08160151,0,1.0
4,5,3.wav,0,-9211.507,-472.31647,91.023964,66.400665,-34.01155,-32.34942,-4.276633,0.30916902,-14.062548,-2.8439865,-0.9944435,0.51083475,-5.3697543,-0.29255214,-0.043859567,0.35811943,-0.41749313,-0.025409995,0.48284253,0.50128096,0,1.0
5,6,16.wav,0,-9211.45,-472.28024,91.01406,66.375595,-33.9717,-32.351574,-4.2596607,0.21848713,-12.78013,-2.6803322,-0.69287694,0.42006204,-4.7455087,-0.924854,0.05677426,0.82001364,-0.57988954,0.021857819,-0.23918726,-0.6967153,1,1.0
6,7,14.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.285249,0.26061407,-14.00327,-2.9046845,-0.91375047,0.35880357,-4.2183886,-0.42950404,-0.107011735,0.64481694,0.9178844,0.08538007,0.4570271,-0.7189174,0,1.0
7,8,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.2607307,-14.003352,-2.9049969,-0.9137596,0.35884416,-4.218385,-0.42950368,-0.10701117,0.6448172,0.91788375,0.08538121,0.45702812,-0.7189162,0,1.0
8,9,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.2607052,-14.003279,-2.904829,-0.9137622,0.35881814,-4.218383,-0.4295052,-0.107009806,0.6448175,0.9178833,0.08538164,0.4570355,-0.71892697,0,1.0
9,10,16.wav,0,-9211.45,-472.28024,91.01406,66.375595,-33.971695,-32.351353,-4.2591553,0.21813191,-12.78016,-2.6802297,-0.6928816,0.42006096,-4.745512,-0.92485356,0.056774855,0.8200096,-0.579891,0.021857968,-0.23919007,-0.6967163,1,1.0
10,11,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.9137579,0.3588152,-4.2183895,-0.42950302,-0.10701582,0.6448168,0.9178875,0.08537714,0.45702296,-0.7189205,0,1.0
11,12,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.91374916,0.35881785,-4.218387,-0.42950407,-0.10701215,0.6448156,0.9178836,0.08538052,0.4570296,-0.7189199,0,1.0
12,13,20.wav,0,-9211.465,-472.3071,91.024155,66.395905,-34.00788,-32.349976,-4.2717347,0.31111905,-14.020621,-2.8391945,-1.0720251,0.568242,-5.5580397,-0.31094864,0.9305497,0.15306047,-0.28140417,-0.4439812,1.1489935,-1.0508776,0,1.0
13,14,8.wav,0,-9211.307,-472.16626,90.983315,66.30376,-33.764412,-32.3833,-4.042384,0.32533622,-13.586589,-2.8832245,-1.2825141,0.07200465,-4.053666,-1.249504,0.3540216,-1.1108322,0.048698477,-1.3081627,-0.12106136,0.03189731,1,1.0
14,15,14.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.91374916,0.35881504,-4.218387,-0.42950162,-0.10701126,0.64481694,0.9178826,0.085380636,0.45703003,-0.71891814,0,1.0
15,16,22.wav,0,-9211.483,-472.29886,91.017784,66.39024,-33.977608,-32.351463,-4.1705055,0.53245276,-14.199075,-2.6235123,-0.9897109,0.9093141,-6.1572127,0.862488,0.6577164,-0.31386063,-1.3541684,-0.31040815,0.3919258,0.35275084,1,1.0
16,17,7.wav,0,-9210.951,-471.7499,90.82421,65.999626,-32.813316,-32.500343,-2.9818413,0.8703433,-13.575711,-2.5804582,-1.3726012,0.12801199,-4.4142523,-0.82519734,-0.16606058,-0.29886168,-0.04702909,-1.5722375,-0.6070937,0.653683,1,1.0
17,18,20.wav,0,-9211.465,-472.3071,91.024155,66.395905,-34.00788,-32.349976,-4.2717347,0.31111905,-14.020621,-2.8391945,-1.0720251,0.56824213,-5.55804,-0.3109467,0.93055034,0.15304722,-0.2814143,-0.44398093,1.1489949,-1.0508821,0,1.0
18,19,14.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.91374916,0.35881504,-4.218387,-0.4295018,-0.10701193,0.64481676,0.917885,0.08538067,0.457029,-0.71891814,0,1.0
19,20,4.wav,0,-9211.461,-472.30432,91.023315,66.396416,-34.004025,-32.350945,-4.259185,0.32417607,-13.535033,-2.7036989,-0.8193113,0.579097,-4.923903,-0.5814282,-0.03518316,0.5499359,-0.36428872,0.23480664,0.32945082,-0.13338041,0,1.0
20,21,21.wav,0,-9211.162,-472.34085,91.00856,66.39749,-34.010536,-32.35022,-4.27221,0.29232782,-13.693108,-2.7858155,-0.92920154,0.5268462,-5.271237,-0.0967727,-0.028772352,0.61281466,-0.7869215,-0.017019676,0.32695892,0.078150585,1,1.0
21,22,17.wav,0,-9210.863,-471.69885,90.84386,65.98944,-33.26474,-32.34302,-3.7140996,0.7198733,-13.310536,-2.2122707,-0.6755222,1.2662239,-3.8852632,1.2866455,-0.37374496,0.05941471,-0.8485604,-0.03932968,-1.5304831,0.40401852,1,1.0
22,23,3.wav,0,-9211.507,-472.31647,91.023964,66.40091,-34.011486,-32.34991,-4.2768626,0.3092525,-14.062542,-2.8440063,-0.9944438,0.5108373,-5.3697543,-0.2925521,-0.043859698,0.3581182,-0.41749278,-0.02540984,0.48284182,0.50128186,0,1.0
23,24,8.wav,0,-9211.307,-472.16626,90.983315,66.30376,-33.764412,-32.3833,-4.042384,0.32533622,-13.586589,-2.8832245,-1.2825141,0.07200465,-4.053666,-1.249504,0.3540206,-1.1108346,0.048695594,-1.3081632,-0.12106078,0.031898003,1,1.0
24,25,8.wav,0,-9211.307,-472.16626,90.983315,66.30376,-33.764412,-32.3833,-4.042384,0.32533622,-13.586589,-2.8832245,-1.2825141,0.07200465,-4.053666,-1.249504,0.3540206,-1.1108346,0.048695583,-1.3081629,-0.1210608,0.031898044,1,1.0
25,26,11.wav,0,-9210.206,-471.1323,90.68189,65.67198,-32.59853,-32.353996,-3.0210123,1.0831372,-13.998661,-2.4016564,-0.78937536,0.7228693,-5.345025,0.52974063,-0.17049305,0.40674722,-0.3276035,0.051359683,0.032161552,0.19007377,1,1.0
26,27,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.91374916,0.35881504,-4.218387,-0.42950177,-0.107011944,0.6448167,0.91788495,0.085380696,0.45702925,-0.7189183,0,1.0
27,28,1.wav,0,-9211.508,-472.31677,91.024055,66.400856,-34.011795,-32.3514,-4.2682924,0.27576184,-12.819605,-2.600405,-0.72624093,0.5900224,-4.8194113,-1.1760008,0.113630496,0.80711055,-0.057770893,0.3553864,0.5981794,-0.5542485,0,1.0
28,29,3.wav,0,-9211.507,-472.31647,91.023964,66.40091,-34.011486,-32.34991,-4.2768626,0.3092525,-14.062542,-2.8440063,-0.9944438,0.5108373,-5.3697543,-0.2925521,-0.0438597,0.35811815,-0.41749278,-0.025409808,0.48284182,0.5012819,0,1.0
29,30,4.wav,0,-9211.461,-472.30432,91.023315,66.396416,-34.004025,-32.350945,-4.259185,0.32417607,-13.535033,-2.7036989,-0.8193113,0.579097,-4.923903,-0.5814281,-0.035183143,0.5499359,-0.36428848,0.23480639,0.3294513,-0.13338162,0,1.0
30,31,16.wav,0,-9211.45,-472.28024,91.01406,66.375595,-33.971695,-32.351353,-4.2591553,0.21813159,-12.780156,-2.6802137,-0.6928754,0.4200571,-4.74551,-0.9248534,0.056774005,0.8200128,-0.57988936,0.021857765,-0.23918495,-0.6967208,1,1.0
31,32,1.wav,0,-9211.508,-472.31677,91.024055,66.400856,-34.011795,-32.3514,-4.2682924,0.27576184,-12.819605,-2.600405,-0.72624093,0.5900224,-4.8194113,-1.1760008,0.113630496,0.80711055,-0.057770893,0.3553864,0.59817946,-0.5542485,0,1.0
32,33,20.wav,0,-9211.465,-472.3071,91.024155,66.395905,-34.00788,-32.349976,-4.2717347,0.31111905,-14.020621,-2.8391945,-1.0720251,0.56824213,-5.55804,-0.3109467,0.93055034,0.15304728,-0.28141433,-0.4439809,1.1489948,-1.0508817,0,1.0
33,34,16.wav,0,-9211.45,-472.28024,91.01406,66.375595,-33.971695,-32.351353,-4.2591553,0.21813159,-12.780156,-2.6802137,-0.6928754,0.4200571,-4.74551,-0.9248534,0.056774005,0.8200128,-0.57988936,0.021857765,-0.23918495,-0.6967208,1,1.0
34,35,2.wav,0,-9211.518,-472.31976,91.02297,66.401886,-34.01281,-32.351265,-4.294019,0.24756755,-14.165556,-2.9709182,-0.9444708,0.1673101,-4.913331,-1.249651,0.53244555,-0.14415556,-0.7130013,-0.079826236,0.28419986,0.08160077,0,1.0
35,36,23.wav,0,-9210.118,-471.93787,90.981964,66.25346,-33.815895,-32.336052,-4.100398,0.47723877,-13.859184,-2.6386044,-0.857441,0.7644909,-5.223916,0.4004986,-0.071490504,0.9658555,-0.6234777,0.061013293,0.34780458,-0.40627518,1,1.0
36,37,8.wav,0,-9211.307,-472.16626,90.983315,66.30376,-33.764412,-32.3833,-4.042384,0.32533622,-13.586589,-2.8832245,-1.2825141,0.07200465,-4.053666,-1.249504,0.3540206,-1.1108346,0.04869558,-1.3081632,-0.1210608,0.03189807,1,1.0
37,38,1.wav,0,-9211.508,-472.31677,91.024055,66.400856,-34.011795,-32.3514,-4.2682924,0.27576184,-12.819605,-2.600405,-0.72624093,0.5900224,-4.8194113,-1.1760008,0.113630496,0.80711055,-0.057770893,0.3553864,0.59817946,-0.5542485,0,1.0
38,39,16.wav,0,-9211.45,-472.28024,91.01406,66.375595,-33.971695,-32.351353,-4.2591553,0.21813159,-12.780156,-2.6802137,-0.6928754,0.4200571,-4.74551,-0.9248534,0.056774005,0.8200128,-0.57988936,0.021857765,-0.23918495,-0.6967208,1,1.0
39,40,4.wav,0,-9211.461,-472.30432,91.023315,66.396416,-34.004025,-32.350945,-4.259185,0.32417607,-13.535033,-2.7036989,-0.8193113,0.579097,-4.923903,-0.5814281,-0.035183143,0.5499359,-0.36428848,0.23480639,0.3294513,-0.13338162,0,1.0
40,41,5.wav,0,-9211.512,-472.31787,91.02263,66.40134,-34.011116,-32.35051,-4.276242,0.3077893,-14.098605,-2.85813,-0.9985233,0.536137,-5.8512316,-0.52358234,-0.010988731,0.5099083,-0.2695304,-0.027509144,0.83236957,0.10498744,0,1.0
41,42,23.wav,0,-9210.118,-471.93787,90.981964,66.25346,-33.815895,-32.336052,-4.100398,0.47723877,-13.859184,-2.6386044,-0.857441,0.7644909,-5.223916,0.4004986,-0.071490504,0.9658555,-0.6234777,0.061013293,0.34780458,-0.40627518,1,1.0
42,43,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.91374916,0.35881504,-4.218387,-0.42950177,-0.107011944,0.6448167,0.91788495,0.085380696,0.45702925,-0.7189183,0,1.0
43,44,19.wav,0,-9211.422,-472.30038,91.02366,66.3971,-34.005943,-32.348473,-4.2520757,0.38342085,-14.072205,-2.7479517,-1.3087474,0.81338805,-6.3352633,-0.06434438,0.874219,0.16819957,-0.77305144,-0.081206776,1.142937,-0.31170264,0,1.0
44,45,19.wav,0,-9211.422,-472.30038,91.02366,66.3971,-34.005943,-32.348473,-4.2520757,0.38342085,-14.072205,-2.7479517,-1.3087474,0.81338805,-6.3352633,-0.06434438,0.874219,0.16819957,-0.77305144,-0.081206776,1.142937,-0.31170264,0,1.0
45,46,6.wav,0,-9211.5205,-472.32245,91.021484,66.40303,-34.01526,-32.351498,-4.303554,0.17137499,-13.092539,-2.8188143,-1.1734854,0.15784833,-4.246535,-0.8241329,-0.07234595,-0.3280377,-0.4979757,-1.6023297,-0.29066846,1.3052481,1,1.0
46,47,20.wav,0,-9211.465,-472.3071,91.024155,66.395905,-34.00788,-32.349976,-4.2717347,0.31111905,-14.020621,-2.8391945,-1.0720251,0.56824213,-5.55804,-0.3109467,0.93055034,0.15304728,-0.28141433,-0.4439809,1.1489948,-1.0508817,0,1.0
47,48,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.91374916,0.35881504,-4.218387,-0.42950177,-0.107011944,0.6448167,0.91788495,0.085380696,0.45702925,-0.7189183,0,1.0
48,49,23.wav,0,-9210.118,-471.93787,90.981964,66.25346,-33.815895,-32.336052,-4.100398,0.47723877,-13.859184,-2.6386044,-0.857441,0.7644909,-5.223916,0.4004986,-0.071490504,0.9658555,-0.6234777,0.061013293,0.34780458,-0.40627518,1,1.0
49,50,17.wav,0,-9210.863,-471.69885,90.84386,65.98944,-33.26474,-32.34302,-3.7140996,0.7198733,-13.310536,-2.2122707,-0.6755222,1.2662239,-3.8852632,1.2866455,-0.37374496,0.05941471,-0.8485604,-0.039329655,-1.5304831,0.40401855,1,1.0
50,51,13.wav,0,-9211.291,-472.32593,91.013054,66.397865,-34.008286,-32.351513,-4.2812734,0.23416233,-13.204354,-2.7617006,-2.0463653,0.36019608,-4.0022697,-0.8033137,-0.023509687,0.1610238,-0.18540516,0.37696663,-0.24647568,0.31647468,1,1.0
51,52,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.91374916,0.35881504,-4.218387,-0.42950177,-0.107011944,0.6448167,0.91788495,0.085380696,0.45702925,-0.7189183,0,1.0
52,53,19.wav,0,-9211.422,-472.30038,91.02366,66.3971,-34.005943,-32.348473,-4.2520757,0.38342085,-14.072205,-2.7479517,-1.3087474,0.81338805,-6.3352633,-0.06434438,0.874219,0.16819957,-0.77305144,-0.081206776,1.142937,-0.31170264,0,1.0
53,54,17.wav,0,-9210.863,-471.69885,90.84386,65.98944,-33.26474,-32.34302,-3.7140996,0.7198733,-13.310536,-2.2122707,-0.6755222,1.2662239,-3.8852632,1.2866455,-0.37374496,0.05941471,-0.8485604,-0.039329655,-1.5304831,0.40401855,1,1.0
54,55,9.wav,0,-9211.188,-472.0395,90.9324,66.18769,-33.437946,-32.460938,-3.484456,0.63234824,-13.760981,-2.8141167,-1.3068906,0.15118809,-4.5791864,-0.8220582,-0.1310754,-0.23807532,-0.11692952,-1.697307,-0.5328842,0.5561047,1,1.0
55,56,9.wav,0,-9211.188,-472.0395,90.9324,66.18769,-33.437946,-32.460938,-3.484456,0.63234824,-13.760981,-2.8141167,-1.3068906,0.15118809,-4.5791864,-0.8220582,-0.1310754,-0.23807532,-0.11692952,-1.697307,-0.5328842,0.5561047,1,1.0
56,57,22.wav,0,-9211.483,-472.29886,91.017784,66.39024,-33.977608,-32.351463,-4.1705055,0.53245276,-14.199075,-2.6235123,-0.9897109,0.9093141,-6.1572127,0.8624882,0.6577165,-0.3138617,-1.3541672,-0.3104099,0.39192545,0.35275093,1,1.0
57,58,4.wav,0,-9211.461,-472.30432,91.023315,66.396416,-34.004025,-32.350945,-4.259185,0.32417607,-13.535033,-2.7036989,-0.8193113,0.579097,-4.923903,-0.5814281,-0.035183143,0.5499359,-0.36428848,0.23480639,0.3294513,-0.13338162,0,1.0
58,59,16.wav,0,-9211.45,-472.28024,91.01406,66.375595,-33.971695,-32.351353,-4.2591553,0.21813159,-12.780156,-2.6802137,-0.6928754,0.4200571,-4.74551,-0.9248534,0.056774005,0.8200128,-0.57988936,0.021857765,-0.23918495,-0.6967208,1,1.0
59,60,7.wav,0,-9210.951,-471.7499,90.82421,65.999626,-32.813316,-32.500343,-2.9818413,0.8703433,-13.575711,-2.5804582,-1.3726012,0.12801196,-4.4142523,-0.8251973,-0.16606046,-0.29886174,-0.04702869,-1.5722363,-0.60709506,0.6536837,1,1.0
60,61,5.wav,0,-9211.512,-472.31787,91.02263,66.40134,-34.011116,-32.35051,-4.276242,0.3077893,-14.098605,-2.85813,-0.9985233,0.536137,-5.8512316,-0.52358234,-0.010988731,0.5099083,-0.2695304,-0.027509144,0.83236957,0.10498744,0,1.0
61,62,10.wav,0,-9211.252,-472.1524,90.98242,66.307205,-33.848003,-32.35512,-4.127347,0.39698634,-13.525415,-2.6764627,-0.81062776,0.58208835,-4.9037743,-0.14071968,-0.059919145,0.61138195,-0.45096952,0.10931263,-0.021828167,-0.11900449,1,1.0
62,63,3.wav,0,-9211.507,-472.31647,91.023964,66.40091,-34.011486,-32.34991,-4.2768626,0.3092525,-14.062542,-2.8440063,-0.9944438,0.5108373,-5.3697543,-0.2925521,-0.0438597,0.35811815,-0.41749278,-0.025409808,0.48284182,0.5012819,0,1.0
63,64,22.wav,0,-9211.483,-472.29886,91.017784,66.39024,-33.977608,-32.351463,-4.1705055,0.53245276,-14.199075,-2.6235123,-0.9897109,0.9093141,-6.1572127,0.8624882,0.6577165,-0.3138617,-1.3541672,-0.3104099,0.39192545,0.35275093,1,1.0
64,65,23.wav,0,-9210.118,-471.93787,90.981964,66.25346,-33.815895,-32.336052,-4.100398,0.47723877,-13.859184,-2.6386044,-0.857441,0.7644909,-5.223916,0.4004986,-0.071490504,0.9658555,-0.6234777,0.061013293,0.34780458,-0.40627518,1,1.0
65,66,15.wav,0,-9211.451,-472.28555,91.018845,66.38345,-33.9686,-32.354618,-4.15708,0.51820654,-13.084072,-2.3692746,-0.61161983,0.8981212,-3.9419856,0.24779357,0.63264376,-0.3726687,-0.39206028,0.35733187,-0.56037724,0.22686222,1,1.0
66,67,1.wav,0,-9211.508,-472.31677,91.024055,66.400856,-34.011795,-32.3514,-4.2682924,0.27576184,-12.819605,-2.600405,-0.72624093,0.5900224,-4.8194113,-1.1760008,0.113630496,0.80711055,-0.057770893,0.3553864,0.59817946,-0.5542485,0,1.0
67,68,4.wav,0,-9211.461,-472.30432,91.023315,66.396416,-34.004025,-32.350945,-4.259185,0.32417607,-13.535033,-2.7036989,-0.8193113,0.579097,-4.923903,-0.5814281,-0.035183143,0.5499359,-0.36428848,0.23480639,0.3294513,-0.13338162,0,1.0
68,69,3.wav,0,-9211.507,-472.31647,91.023964,66.40091,-34.011486,-32.34991,-4.2768626,0.3092525,-14.062542,-2.8440063,-0.9944438,0.5108373,-5.3697543,-0.2925521,-0.0438597,0.35811815,-0.41749278,-0.025409808,0.48284182,0.5012819,0,1.0
69,70,16.wav,0,-9211.45,-472.28024,91.01406,66.375595,-33.971695,-32.351353,-4.2591553,0.21813159,-12.780156,-2.6802137,-0.6928754,0.4200571,-4.74551,-0.9248534,0.056774005,0.8200128,-0.57988936,0.021857765,-0.23918495,-0.6967208,1,1.0
70,71,15.wav,0,-9211.451,-472.28555,91.018845,66.38345,-33.9686,-32.354618,-4.15708,0.51820654,-13.084072,-2.3692746,-0.61161983,0.8981212,-3.9419856,0.24779357,0.63264376,-0.3726687,-0.39206028,0.35733187,-0.56037724,0.22686222,1,1.0
71,72,17.wav,0,-9210.863,-471.69885,90.84386,65.98944,-33.26474,-32.34302,-3.7140996,0.7198733,-13.310536,-2.2122707,-0.6755222,1.2662239,-3.8852632,1.2866455,-0.37374496,0.05941471,-0.8485604,-0.039329655,-1.5304831,0.40401855,1,1.0
72,73,2.wav,0,-9211.518,-472.31976,91.02297,66.401886,-34.01281,-32.351265,-4.294019,0.24756755,-14.165556,-2.9709182,-0.9444708,0.1673101,-4.913331,-1.249651,0.53244555,-0.14415556,-0.7130013,-0.079826236,0.28419986,0.08160077,0,1.0
73,74,15.wav,0,-9211.451,-472.28555,91.018845,66.38345,-33.9686,-32.354618,-4.15708,0.51820654,-13.084072,-2.3692746,-0.61161983,0.8981212,-3.9419856,0.24779357,0.63264376,-0.3726687,-0.39206028,0.35733187,-0.56037724,0.22686222,1,1.0
74,75,15.wav,0,-9211.451,-472.28555,91.018845,66.38345,-33.9686,-32.354618,-4.15708,0.51820654,-13.084072,-2.3692746,-0.61161983,0.8981212,-3.9419856,0.24779357,0.63264376,-0.3726687,-0.39206028,0.35733187,-0.56037724,0.22686222,1,1.0
75,76,20.wav,0,-9211.465,-472.3071,91.024155,66.395905,-34.00788,-32.349976,-4.2717347,0.31111905,-14.020621,-2.8391945,-1.0720251,0.56824213,-5.55804,-0.3109467,0.93055034,0.15304728,-0.28141433,-0.4439809,1.1489948,-1.0508817,0,1.0
76,77,21.wav,0,-9211.162,-472.34085,91.00856,66.39749,-34.010536,-32.35022,-4.27221,0.29232782,-13.693108,-2.7858155,-0.92920154,0.5268462,-5.271237,-0.096772686,-0.02877238,0.6128146,-0.7869218,-0.017019432,0.32695937,0.07815081,1,1.0
77,78,17.wav,0,-9210.863,-471.69885,90.84386,65.98944,-33.26474,-32.34302,-3.7140996,0.7198733,-13.310536,-2.2122707,-0.6755222,1.2662239,-3.8852632,1.2866455,-0.37374496,0.05941471,-0.8485604,-0.039329655,-1.5304831,0.40401855,1,1.0
78,79,8.wav,0,-9211.307,-472.16626,90.983315,66.30376,-33.764412,-32.3833,-4.042384,0.32533622,-13.586589,-2.8832245,-1.2825141,0.07200465,-4.053666,-1.249504,0.3540206,-1.1108346,0.04869558,-1.3081632,-0.1210608,0.03189807,1,1.0
