,Input,Wav filename,flag value,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,Labels
0,1,1.wav,0,1.1092212,-0.76209337,-1.4238566,-0.16752318,-1.2102444,0.5454563,0.13528621,0.3732294,-0.105429426,0.03296571,-0.15437979,-0.03832029,-0.13441429,-0.017373893,0.073739685,0.0040945066,-0.007347139,0.048764236,0.014632393,0.0013600744,0
1,2,2.wav,0,1.1092212,-0.76209307,-1.4238551,-0.16752362,-1.2102448,0.54545677,0.13528639,0.3732295,-0.10542939,0.032965664,-0.15438005,-0.038320377,-0.13441432,-0.017373998,0.07373993,0.004094401,-0.007347221,0.048764385,0.014632355,0.0013601125,0
2,3,3.wav,0,0.008469364,-0.11003128,0.04435783,1.7555715,-0.01211829,-0.16169891,-0.12730035,-0.33205608,-0.1344586,0.040238462,-0.16983597,0.057791788,-0.020506375,0.015283066,-0.0013471552,-0.074383706,0.04519681,0.029462695,0.008201186,-0.0048611746,0
3,4,4.wav,0,-0.058840662,0.95761734,0.7665013,-0.3446429,-1.03131,-0.32041162,-0.10634874,-0.15258202,-0.44708183,-0.8970878,-0.0367659,-0.016186133,0.04363031,0.26195523,-0.06324124,0.13333179,0.0022038564,-0.0087116035,-0.02848984,0.0025315112,0
4,5,5.wav,0,0.101231635,1.0404131,0.15883635,-0.694453,-0.4009782,-0.878776,-0.3701633,0.23601986,0.37167794,0.00051528495,-0.04450385,0.13139418,-0.045747995,-0.10080322,0.009852612,-0.11706966,0.0018699656,0.0422385,-0.076196104,-0.019582491,0
5,6,6.wav,0,0.008470381,-0.11003128,0.044358134,1.7555717,-0.012118491,-0.16169891,-0.12730034,-0.33205608,-0.1344588,0.040238358,-0.16983625,0.057791863,-0.020506315,0.015283074,-0.0013471257,-0.07438361,0.045196854,0.029462736,0.008201159,-0.0048612733,1
6,7,7.wav,0,-1.838829,-1.1742642,-0.14979038,-0.62287676,0.20049874,0.02982689,-0.069373794,-0.0920506,-0.052069336,0.03676089,-0.028464546,0.013273179,-0.006772188,0.015770739,-0.00916106,-0.0032092016,0.0033524332,0.002459222,0.00012181609,-0.00041578364,1
7,8,8.wav,0,-1.8388287,-1.1742641,-0.14979011,-0.62287724,0.20049904,0.029827666,-0.069373794,-0.09205117,-0.052069202,0.036760733,-0.028464295,0.01327308,-0.0067725135,0.015770774,-0.009160793,-0.0032090952,0.003352365,0.0024594346,0.00012192751,-0.00041569426,1
8,9,9.wav,0,-1.8388289,-1.174264,-0.14979008,-0.6228776,0.20049892,0.029827354,-0.069373675,-0.09205131,-0.052069083,0.036760896,-0.028464546,0.013273115,-0.0067726066,0.015770745,-0.009160857,-0.0032091234,0.0033524267,0.0024592967,0.000121889054,-0.0004157858,1
9,10,10.wav,0,0.008470348,-0.11003122,0.044358753,1.7555716,-0.012118778,-0.16169894,-0.12730074,-0.33205557,-0.13445877,0.04023837,-0.16983594,0.057791743,-0.020506293,0.015283016,-0.0013471728,-0.07438355,0.045196872,0.029462494,0.008201001,-0.0048612654,1
10,11,11.wav,0,-1.8388289,-1.1742641,-0.14979008,-0.6228776,0.2004989,0.02982744,-0.069373675,-0.09205112,-0.05206946,0.036760934,-0.02846439,0.0132731935,-0.0067726066,0.0157707,-0.009160857,-0.0032091036,0.0033523324,0.0024594232,0.00012190877,-0.00041573113,1
