,Input,Wav filename,flag value,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,Labels
705,706,/content/drive/MyDrive/ReCirCor/training_data/training_data/50254_TV.wav,1,-0.5804089,0.08618869,0.26972085,-0.30442512,-0.27518696,-0.38181493,0.025136288,0.12527929,0.19815521,-0.14042713,-0.021457333,-0.14566056,0.009350182,-0.1279967,0.2019932,0.14059167,0.005553177,-0.06512401,-0.038207944,0.037414994,0
285,286,/content/drive/MyDrive/ReCirCor/training_data/training_data/49931_AV.wav,1,-0.084915504,-0.011564608,0.4487409,0.0037998334,0.13935319,0.1804697,-0.31355247,-0.06382445,-0.018019957,-0.20702869,0.08379241,-0.17597443,0.41495475,0.26006055,0.041434284,0.035619132,0.10135017,0.079966396,-0.0047934526,-0.17685658,1
531,532,/content/drive/MyDrive/ReCirCor/training_data/training_data/50115_TV_2.wav,1,-0.3444783,0.093228735,0.4719163,0.0614348,-0.0032883647,-0.09323282,0.008429297,-0.016322594,-0.10653688,-0.0011142725,-0.017823445,-0.020808307,-0.2571532,0.027224442,-0.045266967,0.01708464,-0.029807193,-0.050564393,-0.004829075,-0.008445803,1
534,535,/content/drive/MyDrive/ReCirCor/training_data/training_data/50117_TV.wav,1,-0.7407995,0.20881689,-0.31247255,-0.10127999,-0.39849615,0.1438956,0.039220486,0.11559106,0.30955148,0.040721577,0.28723863,-0.07123482,-0.008881024,0.029332088,0.04721658,0.13185449,-0.051440373,0.014633894,-0.10635711,0.10402307,0
903,904,/content/drive/MyDrive/ReCirCor/training_data/training_data/50359_MV.wav,1,-0.8812342,0.36199164,0.48965138,0.2707533,0.123021565,0.421335,-0.27383402,-0.048413824,0.11340014,-0.3742099,0.06083779,0.6063199,0.49365497,-0.10352254,-0.110915214,-0.058741882,0.09649823,0.28097832,0.15163286,0.051181354,0
717,718,/content/drive/MyDrive/ReCirCor/training_data/training_data/50260_PV.wav,1,0.9154542,-0.35827017,0.49841592,0.05097319,0.18610364,0.34076726,0.04543282,-0.17873782,-0.18668205,-0.04912444,-0.040043667,-0.11460039,-0.08333109,0.15102856,-0.12744221,0.49872732,-0.03344778,-0.1628322,-0.12860638,0.0730164,1
33,34,/content/drive/MyDrive/ReCirCor/training_data/training_data/14998_TV.wav,1,0.09707596,-0.1849736,0.12006448,-0.2930358,-0.30216837,-0.112696014,0.15347043,0.12249092,-0.07416126,-0.10457322,-0.106526084,-0.33405384,0.020542858,0.04955813,-0.293964,-0.03164257,-0.041771844,0.020083465,0.01402542,-0.094892025,0
394,395,/content/drive/MyDrive/ReCirCor/training_data/training_data/50023_AV.wav,1,-0.2585552,0.03750789,0.3680916,-0.025096688,-0.108412,-0.16139597,-0.09979041,0.06423512,-0.22626215,0.12390316,0.039324693,0.075107045,0.11293575,-0.106093116,0.02562197,0.09255238,-0.033725657,0.047662426,-0.049830765,0.017336464,0
894,895,/content/drive/MyDrive/ReCirCor/training_data/training_data/50352_PV.wav,1,-0.5730009,0.104371905,0.49366513,-0.24488899,-0.19998977,0.19431613,-0.28140935,0.33211333,0.2133166,-0.25684923,-0.21364376,-0.06859953,-0.025454212,0.11944795,-0.1102335,0.02980845,-0.107151456,-0.001990327,0.029322635,0.040436126,0
24,25,/content/drive/MyDrive/ReCirCor/training_data/training_data/13918_PV.wav,1,0.1228024,-0.14330351,-0.10065669,-0.24489217,0.24939662,-0.26099554,-0.11783408,0.12487535,-0.12960094,0.10552715,-0.13011566,-0.29605427,0.32585907,-0.06763055,-0.24079932,0.12710369,0.1752679,0.18428655,-0.14885549,-0.07332452,1
8,9,9.wav,0,1.4949136,0.2861621,-0.1273262,1.854764,-0.20482074,-0.38685426,-0.29579845,0.6679115,-0.009026436,0.68019193,-0.20341203,0.12882085,0.4208519,0.09491716,-0.3225154,-0.15723895,-0.08494761,-0.48511547,0.50662833,0.22018816,1
530,531,/content/drive/MyDrive/ReCirCor/training_data/training_data/50115_TV_1.wav,1,-0.98644096,0.31229705,-0.16611551,-0.12268618,-0.24443422,0.62244403,-0.19254503,0.245228,0.32131523,-0.11268713,-0.08568896,-0.04313917,-0.2402003,0.04110673,-0.059188556,0.1440325,0.0002458227,0.28002805,0.37931925,-0.08560191,1
728,729,/content/drive/MyDrive/ReCirCor/training_data/training_data/50263_MV.wav,1,-0.34348875,0.13321488,-0.1662428,0.14235634,-0.2818216,-0.11878559,0.19529535,-0.100107625,-0.0818938,0.16830362,-0.051047236,0.31721416,-0.026625287,-0.04961054,0.17411919,0.03749887,0.008175149,-0.064433016,0.006503883,-0.10125859,0
449,450,/content/drive/MyDrive/ReCirCor/training_data/training_data/50070_AV.wav,1,0.0457524,-0.10585517,0.48864624,-0.12769516,0.056566,-0.06579746,-0.05461531,-0.06608942,-0.17487188,0.112059586,-0.06337781,-0.18315841,0.2052647,-0.15618785,0.011884793,0.03218386,0.012058374,-0.08068581,0.046501208,-0.040830184,0
223,224,/content/drive/MyDrive/ReCirCor/training_data/training_data/49754_TV.wav,1,0.34229958,-0.16454948,0.34593728,-0.140078,-0.09505769,-0.2803384,-0.26000407,-0.10057779,-0.06275312,-0.2016115,0.120840445,-0.05963471,0.13181983,-0.33712757,0.49412957,-0.11335246,-0.0008357765,0.02864953,-0.052408323,0.07106477,1
626,627,/content/drive/MyDrive/ReCirCor/training_data/training_data/50210_AV.wav,1,-0.39305264,0.097742386,-0.106264286,0.006138873,0.37441143,0.11889528,-0.16885696,-0.050048478,0.13417722,-0.13940889,-0.091297895,-0.043678023,-0.04129349,-0.07628715,0.02890905,-0.071059756,0.051856484,0.045683995,-0.017299524,0.04298983,0
520,521,/content/drive/MyDrive/ReCirCor/training_data/training_data/50111_PV.wav,1,-0.4544113,0.23147985,0.341259,0.3836394,0.11684767,0.20106755,0.1017817,-0.25556543,-0.24446777,-0.059131175,-0.036531556,0.13934632,0.12792416,-0.053521156,0.10172269,0.0026960697,-0.033244953,0.09621248,-0.0059906263,0.062680356,0
117,118,/content/drive/MyDrive/ReCirCor/training_data/training_data/49568_AV.wav,1,0.049399048,-0.022772608,0.66669196,0.08448191,0.21429755,0.29231697,0.39555117,-0.21082886,0.099515215,0.4406186,-0.04306615,-0.106022105,0.14503404,-0.23363718,0.04047758,-0.07881506,0.058316007,0.0031534694,0.05525865,-0.015421535,0
965,966,/content/drive/MyDrive/ReCirCor/training_data/training_data/50645_TV.wav,1,0.073172614,-0.030165415,0.38823426,0.08972607,-0.076489955,-0.2879427,0.29000226,-0.12782386,-0.023696294,-0.16194987,0.002394233,-0.052257154,0.055036236,-0.04646939,-0.0030204027,-0.07573771,-0.11398928,-0.020478005,0.0882731,0.08267555,0
51,52,/content/drive/MyDrive/ReCirCor/training_data/training_data/31737_AV.wav,1,0.11683331,-0.041732237,-0.12525761,0.069327585,-0.27596182,0.052843213,0.2683688,-0.18319252,-0.08994603,-0.20241025,-0.00981941,-0.16451253,0.097643465,-0.084925935,0.044197116,-0.015375712,-0.09710995,0.092120536,-0.035877056,0.053378537,0
